cik
1000015
1000045
1000048
1000050
1000079
1000157
1000166
1000168
1000179
1000180
1000181
1000185
1000188
1000189
1000209
1000227
1000228
1000229
1000230
1000231
1000232
1000234
1000235
1000266
1000278
1000285
1000297
1000298
100030
1000301
1000366
1000368
1000369
1000370
1000375
1000449
1000450
1000453
1000458
1000459
1000495
1000564
1000577
1000578
1000598
1000621
1000623
100063
1000654
1000681
1000683
1000685
1000686
1000688
1000693
1000694
1000695
1000697
1000736
1000753
1000756
1000778
1000779
1000782
1000787
1000823
1000860
1000876
1000897
1000925
1000926
1000955
100102
1001039
1001051
1001065
1001082
1001084
1001109
1001111
1001113
1001115
1001131
1001133
1001136
1001149
1001171
1001185
1001186
1001188
1001193
10012
100122
1001233
1001244
1001250
1001258
1001259
1001260
1001270
1001279
1001287
1001288
1001289
1001316
1001320
1001329
1001384
1001385
1001425
1001426
1001427
1001430
1001433
1001463
1001489
1001493
1001516
1001539
1001540
1001579
1001582
1001592
1001593
1001594
1001601
1001603
1001604
1001606
1001614
1001616
1001627
1001635
100166
1001679
1001718
1001769
1001781
1001791
1001802
1001805
1001808
1001838
1001839
1001840
1001865
1001868
1001871
1001879
1001901
1001902
1001903
1001907
1001915
1001916
1001917
1002017
1002022
1002037
1002040
1002044
1002047
1002063
1002114
1002115
1002119
1002125
1002130
1002131
1002132
1002135
1002137
1002175
1002176
1002178
1002179
1002211
1002212
1002213
1002214
1002225
1002226
1002235
1002243
1002276
1002325
1002360
1002388
1002390
1002396
1002422
1002455
1002506
1002516
1002517
1002518
1002519
1002520
1002521
1002522
1002524
1002525
1002531
1002532
1002536
1002546
1002554
1002573
1002575
1002577
1002579
1002590
1002607
1002628
1002636
1002637
1002638
1002658
1002659
1002663
1002664
1002665
1002666
1002682
1002760
1002761
1002771
1002811
1002813
1002816
1002822
1002902
1002907
1002909
1002910
1002911
1002917
1002918
1002919
1002924
1002938
1003007
1003010
1003012
1003022
1003023
100307
1003076
1003078
1003088
1003110
1003111
1003113
1003114
1003124
1003130
100320
1003201
1003202
1003213
1003214
1003226
1003233
1003264
1003265
1003282
1003292
100331
1003344
1003345
1003382
1003383
1003390
1003410
1003429
1003439
1003464
1003468
1003472
1003477
1003479
1003481
1003504
1003509
1003515
1003521
1003539
1003563
1003564
1003607
1003608
1003619
1003638
1003640
1003641
1003642
1003648
1003739
1003740
1003754
100378
1003815
1003842
1003929
1003931
1003932
1003933
1003934
1003936
1003950
1003951
1003956
1003957
1003958
1003959
1003961
1003967
1003986
1003987
1003989
1004036
100412
1004124
1004125
1004153
1004154
1004155
1004158
1004232
1004233
1004313
1004314
1004317
1004400
100441
1004411
1004434
1004440
1004521
1004524
1004526
1004528
1004539
1004540
1004570
1004571
1004605
1004608
1004641
1004643
1004650
1004673
1004702
1004724
1004740
10048
1004858
1004874
1004913
100493
1004932
1004938
1004939
1004945
1004960
1004961
1004963
1004967
1004968
1004969
1004973
1004980
1004981
1004985
1004988
1004989
1004990
1004991
1005006
1005010
1005011
1005015
1005016
1005017
1005018
1005101
1005119
1005122
1005123
1005126
1005127
1005128
1005139
100517
1005177
1005179
1005181
1005185
1005187
1005188
1005201
1005210
1005214
1005229
1005230
1005268
1005270
1005272
1005274
1005276
1005283
1005284
1005286
1005290
1005291
1005302
1005313
1005319
1005335
1005356
1005387
1005406
1005407
1005408
1005409
1005414
1005415
100548
1005500
1005501
1005502
1005504
1005507
1005508
1005509
1005512
1005530
1005653
1005663
1005697
1005698
1005699
1005700
1005702
1005730
1005731
1005732
1005751
1005757
1005758
1005759
1005760
1005817
1005841
1005858
1005868
1005882
100591
1005938
1005967
1005969
1005970
1005972
1005974
1006024
1006026
1006027
1006028
1006030
1006045
